file,alloc_calls,malloc_calls,calloc_calls,realloc_calls,free_calls,total_calls
./minix/lib/libcxx/test/utilities/tuple/tuple.tuple/alloc_last.h,0,0,0,0,0,0
./minix/lib/libcxx/test/thread/futures/test_allocator.h,0,2,0,0,2,4
./minix/lib/libcxx/test/std/containers/stack_allocator.h,0,0,0,0,0,0
./minix/lib/libcxx/test/std/utilities/tuple/tuple.tuple/alloc_first.h,0,0,0,0,0,0
./minix/lib/libcxx/test/std/utilities/tuple/tuple.tuple/alloc_last.h,0,0,0,0,0,0
./minix/lib/libcxx/test/std/thread/futures/test_allocator.h,0,2,0,0,2,4
./minix/lib/krb5/kadm5/srv/xdr_alloc.c,0,0,0,0,0,0
./minix/lib/krb5/dyn/dyn_realloc.c,3,0,0,1,0,4
./minix/lib/libmapmalloc/common/valloc.c,2,0,0,0,0,2
./minix/lib/libmapmalloc/common/calloc.c,0,1,2,0,1,4
./minix/lib/watchmalloc/common/malloc.c,1,17,1,4,19,42
./minix/lib/libmtmalloc/common/mtmalloc.h,1,1,0,0,2,4
./minix/lib/libmtmalloc/common/mtmalloc_impl.h,0,1,0,0,1,2
./minix/lib/libmtmalloc/common/mtmalloc.c,3,19,1,3,25,51
./minix/lib/i386/kernel/i386at/gpl/linux/include/linux/malloc.h,0,1,0,0,1,2
./minix/lib/i386/kernel/i386/zalloc.h,0,0,0,0,1,1
./minix/lib/i386/boot/malloc.c,0,3,2,0,1,6
./minix/lib/libnsl/nsl/t_alloc.c,0,1,10,0,0,11
./minix/lib/libumem/common/malloc.c,2,7,1,3,9,22
./minix/lib/libxcurses/src/libc/mks/m_malloc.c,0,11,0,1,0,12
./minix/lib/libuutil/common/uu_alloc.c,0,3,0,0,1,4
./minix/drivers/power/acpi/namespace/nsalloc.c,0,0,0,0,1,1
./minix/drivers/power/acpi/utilities/utalloc.c,0,0,1,0,3,4
./minix/servers/netiso/xebec/malloc.h,0,3,0,0,0,3
./minix/servers/netiso/xebec/malloc.c,0,11,0,0,0,11
./minix/servers/ufs/lfs/lfs_balloc.c,0,0,0,0,0,0
./minix/servers/ufs/lfs/lfs_alloc.c,0,2,0,0,5,7
./minix/servers/ufs/ext2fs/ext2_balloc.c,0,0,0,0,0,0
./minix/servers/ufs/ext2fs/ext2_linux_ialloc.c,0,0,0,0,10,10
./minix/servers/ufs/ext2fs/ext2_alloc.c,1,0,0,0,5,6
./minix/servers/ufs/ext2fs/ext2_linux_balloc.c,0,0,0,0,21,21
./minix/servers/ufs/ffs/ffs_balloc.c,0,0,0,0,0,0
./minix/servers/ufs/ffs/ffs_alloc.c,2,0,0,0,21,23
./minix/servers/pxk/alloc.c,1,23,0,0,6,30
./minix/servers/pxk/malloc.c,0,9,0,4,18,31
./minix/servers/kern/kern_malloc.c,5,6,0,0,8,19
./minix/servers/serv/zalloc.c,5,0,0,0,1,6
./minix/servers/lib/libc/port/threads/alloc.c,0,1,0,0,4,5
./minix/servers/lib/libc/port/gen/valloc.c,1,0,0,0,0,1
./minix/servers/lib/libc/port/gen/tsdalloc.c,0,0,0,0,0,0
./minix/servers/lib/libc/port/gen/malloc.c,0,18,0,8,27,53
./minix/servers/lib/libc/port/gen/calloc.c,0,1,2,0,0,3
./minix/servers/lib/libc/port/aio/aio_alloc.c,0,0,0,0,9,9
./alloc.c,0,4,1,3,6,14
./libos/umalloc.c,0,1,0,0,2,3
./libos/ksh/alloc.c,6,2,0,1,5,14
./libos/csh/alloc.c,3,2,2,2,0,9
./libos/sh/memalloc.h,0,0,0,0,1,1
./libos/sh/memalloc.c,0,3,0,3,1,7
./malloc.c,3,6,1,4,3,17
./drivers/ieee1275/sun4/prom_alloc.c,0,0,0,0,1,1
