file,alloc_calls,malloc_calls,calloc_calls,realloc_calls,free_calls,total_calls
./minix/kernel/uts/common/fs/pcfs/pc_alloc.c,0,0,0,0,6,6
./minix/kernel/uts/common/fs/ufs/ufs_alloc.c,3,0,0,0,33,36
./minix/kernel/uts/common/fs/udfs/udf_alloc.c,0,0,0,0,7,7
./minix/kernel/uts/common/fs/smbsrv/smb_alloc.c,1,0,0,0,5,6
./minix/kernel/uts/common/io/e1000g/e1000g_alloc.c,0,0,0,0,1,1
./minix/kernel/uts/common/ktli/t_kalloc.c,0,0,0,0,0,0
./minix/kernel/uts/common/smbsrv/alloc.h,0,3,1,1,4,9
./minix/kernel/contrib/ast/src/lib/libast/include/vmalloc.h,5,11,5,5,9,35
./minix/kernel/contrib/ast/src/lib/libast/regex/regalloc.c,1,0,0,0,0,1
./minix/kernel/contrib/ast/src/lib/libast/vmalloc/malloc.c,12,34,17,23,35,121
./minix/kernel/contrib/ast/src/lib/libast/hash/hashalloc.c,1,0,0,0,1,2
./minix/kernel/contrib/ast/src/lib/libast/astsa/vmalloc.c,0,2,0,0,3,5
./minix/kernel/contrib/ast/src/lib/libast/astsa/vmalloc.h,0,2,0,0,0,2
./minix/kernel/cmd/allocate/allocate.h,0,0,0,0,0,0
./minix/kernel/cmd/allocate/mkdevalloc.c,0,15,7,0,1,23
./minix/kernel/cmd/fm/eversholt/common/alloc.c,8,6,0,4,4,22
./minix/kernel/cmd/fm/eversholt/common/alloc.h,1,2,0,2,2,7
./minix/kernel/cmd/fm/fmd/common/fmd_alloc.h,2,0,0,0,0,2
./minix/kernel/cmd/fm/fmd/common/fmd_alloc.c,0,0,0,0,0,0
./minix/kernel/cmd/fm/modules/common/eversholt/alloc.c,8,2,0,2,4,16
./minix/kernel/cmd/sgs/tsort/common/zmalloc.c,0,2,0,0,0,2
./minix/kernel/cmd/sgs/rtld/common/malloc.c,0,8,2,2,22,34
./minix/kernel/cmd/fs.d/autofs/debug_alloc.c,0,6,0,1,3,10
./minix/kernel/cmd/fs.d/autofs/debug_alloc.h,0,1,0,1,1,3
./minix/kernel/cmd/lp/lib/lp/Sys_malloc.c,0,1,1,1,1,4
./minix/kernel/cmd/audio/include/zmalloc.h,0,0,0,0,0,0
./minix/kernel/cmd/audio/utilities/zmalloc.c,0,2,0,0,2,4
./minix/kernel/cmd/devfsadm/devalloc.c,0,0,0,0,3,3
./minix/kernel/cmd/mailx/stralloc.c,0,0,1,0,1,2
./minix/kernel/cmd/sendmail/db/os/os_alloc.c,0,6,1,4,4,15
./minix/kernel/cmd/sendmail/db/db/db_salloc.c,0,1,0,0,8,9
./minix/kernel/kalloc.c,16,0,0,0,2,18
./minix/kernel/tools/smatch/src/smatch_fresh_alloc.c,0,3,2,2,2,9
./minix/kernel/tools/smatch/src/allocate.h,0,0,0,0,0,0
./minix/kernel/tools/cscope-fast/alloc.c,0,2,2,2,0,6
./minix/kernel/head/alloca.h,0,0,0,0,0,0
./minix/kernel/head/malloc.h,0,2,2,2,5,11
./minix/kernel/palloc.c,1,0,0,0,1,2
./minix/kernel/stand/lib/sa/standalloc.c,0,0,0,0,1,1
./minix/kernel/stand/lib/sa/malloc.c,0,4,1,1,2,8
./minix/kernel/alloc.c,4,0,0,0,7,11
./minix/kernel/boot/libsa/zalloc_protos.h,0,0,0,0,0,0
./minix/kernel/boot/libsa/zalloc_malloc.c,0,6,1,3,9,19
./minix/kernel/boot/libsa/zalloc.c,3,0,0,0,5,8
./minix/kernel/boot/libsa/zalloc_mem.h,0,0,0,0,0,0
./minix/kernel/boot/libsa/zalloc_defs.h,0,1,0,0,0,1
./minix/kernel/common/acpica/namespace/nsalloc.c,0,0,0,0,2,2
./minix/kernel/common/acpica/utilities/utalloc.c,0,0,1,0,4,5
./minix/kernel/malloc.c,0,1,0,0,1,2
./minix/kernel/bootstrap/kalloc.c,3,1,0,2,6,12
./minix/kernel/2Sys/malloc.h,0,8,0,0,6,14
./minix/kernel/2Sys/zalloc.h,1,0,0,0,1,2
./minix/include/xk_malloc.h,0,0,0,0,0,0
./minix/usr.bin/diff/xmalloc.h,0,3,1,1,1,6
./minix/usr.bin/diff/xmalloc.c,0,7,5,2,2,16
./minix/kalloc.c,2,0,0,0,5,7
./minix/alloc.c,3,0,0,0,0,3
./minix/malloc.c,0,1,0,0,1,2
./minix/lib/libbsm/common/devalloc.h,0,0,0,0,0,0
./minix/lib/libbsm/common/devalloc.c,0,10,0,2,32,44
./minix/lib/fm/topo/libtopo/common/topo_alloc.h,0,0,0,0,0,0
./minix/lib/fm/topo/libtopo/common/topo_alloc.c,0,0,0,0,0,0
./minix/lib/pxk/alloc.c,1,25,0,0,7,33
./minix/lib/libmalloc/common/malloc.c,2,20,3,9,36,70
./minix/lib/openssl/sunos/pxk/alloc.c,1,25,0,0,7,33
./minix/lib/openssl/lib/posix/netiso/xebec/malloc.h,0,3,0,0,0,3
./minix/lib/openssl/lib/posix/netiso/xebec/malloc.c,0,11,0,0,0,11
./minix/lib/openssl/lib/posix/ufs/lfs/lfs_balloc.c,0,0,0,0,0,0
./minix/lib/openssl/lib/posix/ufs/lfs/lfs_alloc.c,0,2,0,0,5,7
./minix/lib/openssl/lib/posix/ufs/ext2fs/ext2_balloc.c,0,0,0,0,0,0
./minix/lib/openssl/lib/posix/ufs/ext2fs/ext2_linux_ialloc.c,0,0,0,0,10,10
./minix/lib/openssl/lib/posix/ufs/ext2fs/ext2_alloc.c,1,0,0,0,5,6
./minix/lib/openssl/lib/posix/ufs/ext2fs/ext2_linux_balloc.c,0,0,0,0,21,21
./minix/lib/openssl/lib/posix/ufs/ffs/ffs_balloc.c,0,0,0,0,0,0
./minix/lib/openssl/lib/posix/ufs/ffs/ffs_alloc.c,2,0,0,0,21,23
./minix/lib/openssl/lib/posix/serv/zalloc.c,5,0,0,0,1,6
./minix/lib/libdwarf/common/malloc_check.h,1,1,0,0,4,6
./minix/lib/libdwarf/common/dwarf_alloc.h,0,0,0,0,4,4
./minix/lib/libdwarf/common/dwarf_alloc.c,5,15,0,0,22,42
./minix/lib/libdwarf/common/pro_alloc.c,1,2,0,0,8,11
./minix/lib/libdwarf/common/pro_alloc.h,0,0,0,0,4,4
./minix/lib/klib/include/kalloc.h,3,1,0,2,3,9
./minix/lib/klib/src/kalloc.c,5,3,0,2,3,13
./minix/lib/libcxx/test/support/min_allocator.h,0,0,0,0,0,0
./minix/lib/libcxx/test/support/test_allocator.h,0,0,0,0,0,0
./minix/lib/libcxx/test/support/allocators.h,0,0,0,0,0,0
./minix/lib/libcxx/test/containers/stack_allocator.h,0,0,0,0,0,0
./minix/lib/libcxx/test/utilities/tuple/tuple.tuple/alloc_first.h,0,0,0,0,0,0
