file,malloc_calls,calloc_calls,realloc_calls,free_calls,kalloc_calls,kfree_calls,other_alloc_calls,other_free_calls
./alloc.c,4,0,2,2,0,0,43,5
./drivers/ieee1275/sun4/prom_alloc.c,0,0,0,0,0,0,6,2
./libos/csh/alloc.c,1,1,1,0,0,0,3,0
./libos/ksh/alloc.c,1,0,1,2,0,0,9,12
./libos/sh/memalloc.c,1,0,1,0,0,0,8,1
./libos/umalloc.c,1,0,0,2,0,0,1,8
./malloc.c,5,0,3,3,1,1,42,2
./minix/alloc.c,0,0,0,0,0,0,4,0
./minix/drivers/power/acpi/namespace/nsalloc.c,0,0,0,0,0,0,2,0
./minix/drivers/power/acpi/utilities/utalloc.c,0,0,0,0,0,0,10,1
./minix/kalloc.c,0,0,0,0,2,2,3,10
./minix/kernel/alloc.c,0,0,0,1,0,0,6,5
./minix/kernel/boot/efi/loader/arch/amd64/elf64_freebsd.c,0,0,0,0,0,0,0,1
./minix/kernel/boot/efi/loader/arch/i386/elf32_freebsd.c,0,0,0,0,0,0,0,1
./minix/kernel/boot/i386/libi386/elf32_freebsd.c,0,0,0,0,0,0,0,1
./minix/kernel/boot/i386/libi386/elf64_freebsd.c,0,0,0,0,0,0,0,1
./minix/kernel/boot/libsa/zalloc.c,0,0,0,0,0,0,17,8
./minix/kernel/boot/libsa/zalloc_malloc.c,0,0,1,0,0,0,1,6
./minix/kernel/bootstrap/kalloc.c,1,0,1,1,2,1,20,14
./minix/kernel/cmd/acpi/iasl/aslallocate.c,0,0,1,4,0,0,9,1
./minix/kernel/cmd/allocate/add_allocatable.c,3,0,0,4,0,0,0,2
./minix/kernel/cmd/allocate/allocate.c,0,0,0,0,0,0,17,0
./minix/kernel/cmd/allocate/allocate3.c,2,0,2,23,0,0,37,26
./minix/kernel/cmd/allocate/mkdevalloc.c,15,7,0,1,0,0,3,0
./minix/kernel/cmd/audio/utilities/zmalloc.c,2,0,0,1,0,0,2,1
./minix/kernel/cmd/devfsadm/devalloc.c,0,0,0,3,0,0,5,1
./minix/kernel/cmd/devmgmt/cmds/devfree.c,0,0,0,0,0,0,3,11
./minix/kernel/cmd/dumpadm/minfree.c,0,0,0,0,0,0,0,0
./minix/kernel/cmd/fm/eversholt/common/alloc.c,3,0,2,3,0,0,18,0
./minix/kernel/cmd/fm/fmd/common/fmd_alloc.c,0,0,0,0,0,0,0,0
./minix/kernel/cmd/fm/modules/common/eversholt/alloc.c,1,0,1,1,0,0,22,2
./minix/kernel/cmd/fs.d/autofs/debug_alloc.c,2,0,1,2,0,0,46,3
./minix/kernel/cmd/lp/lib/class/freeclass.c,0,0,0,0,0,0,0,5
./minix/kernel/cmd/lp/lib/filters/freefilter.c,0,0,0,0,0,0,0,20
./minix/kernel/cmd/lp/lib/forms/freeform.c,0,0,0,0,0,0,0,3
./minix/kernel/cmd/lp/lib/lp/Sys_malloc.c,1,1,1,1,0,0,5,0
./minix/kernel/cmd/lp/lib/lp/freelist.c,0,0,0,0,0,0,0,3
./minix/kernel/cmd/lp/lib/printers/freeprinter.c,0,0,0,0,0,0,0,8
./minix/kernel/cmd/lp/lib/requests/freerequest.c,0,0,0,0,0,0,0,4
./minix/kernel/cmd/mailx/stralloc.c,0,1,0,0,0,0,6,2
./minix/kernel/cmd/sendmail/db/db/db_salloc.c,0,0,0,0,0,0,3,12
./minix/kernel/cmd/sendmail/db/os/os_alloc.c,3,1,3,4,0,0,5,0
./minix/kernel/cmd/sgs/rtld/common/malloc.c,6,2,2,4,0,0,5,13
./minix/kernel/cmd/sgs/tsort/common/zmalloc.c,2,0,0,0,0,0,1,0
./minix/kernel/common/acpica/namespace/nsalloc.c,0,0,0,0,0,0,2,1
./minix/kernel/common/acpica/utilities/utalloc.c,0,0,0,0,0,0,10,2
./minix/kernel/common/nvpair/nvpair_alloc_fixed.c,0,0,0,0,0,0,10,3
./minix/kernel/contrib/ast/src/lib/libast/astsa/vmalloc.c,0,0,0,2,0,0,0,1
./minix/kernel/contrib/ast/src/lib/libast/hash/hashalloc.c,0,0,0,0,0,0,1,1
./minix/kernel/contrib/ast/src/lib/libast/hash/hashfree.c,0,0,0,7,0,0,0,10
./minix/kernel/contrib/ast/src/lib/libast/misc/procfree.c,0,0,0,1,0,0,0,1
./minix/kernel/contrib/ast/src/lib/libast/regex/regalloc.c,0,0,0,0,0,0,1,0
./minix/kernel/contrib/ast/src/lib/libast/vec/vecfree.c,0,0,0,2,0,0,1,2
./minix/kernel/contrib/ast/src/lib/libast/vmalloc/malloc.c,14,6,11,18,0,0,12,21
./minix/kernel/kalloc.c,0,0,0,0,1,1,24,7
./minix/kernel/malloc.c,1,0,0,0,0,0,2,0
./minix/kernel/palloc.c,0,0,0,1,0,0,1,0
./minix/kernel/stand/lib/sa/malloc.c,4,1,1,2,0,0,0,0
./minix/kernel/stand/lib/sa/standalloc.c,0,0,0,0,0,0,2,2
./minix/kernel/tools/cscope-fast/alloc.c,1,1,1,0,0,0,5,0
./minix/kernel/tools/smatch/src/allocate.c,0,0,0,0,0,0,25,12
